t (s);T (°C)
8724,632292617;36,5720525904932
8734,631988023;36,444898623546
8744,631437625;36,3886781829873
8754,632011410;36,3818092968285
8764,632206384;36,349803538899
8774,632071545;36,3030052374063
8784,632080885;36,2462116522649
8794,631528407;36,2050172223527
8804,631831094;36,1517098139435
8814,631510956;36,1037117845556
8824,631828980;36,0583003087718
8834,632409164;36,0195633267739
8844,631500521;35,960837951155
8854,632116023;35,9091103641244
8864,632088684;35,8732391773755
8874,631985496;35,843534367051
8884,632328453;35,7807015574413
8894,632262558;35,731915448366
8904,631702810;35,6856683967781
8914,632414191;35,643705951793
8924,631704721;35,5768401454486
8934,632068376;35,5295979223026
8944,631960167;35,4981673147453
8954,631761088;35,4653895953346
8964,632199130;35,4191113474425
8974,631985301;35,3829380872161
8984,631798595;35,3424770915839
8994,631708006;35,2607450902329
9004,631609535;35,1919996211484
9014,632286173;35,1612354307491
9024,632533927;35,1112217077028
9034,631849798;35,0722897891131
9044,632246769;35,0504982797675
9054,631694854;35,0022647374827
9064,631949037;34,9362178712851
9074,631511328;34,8995068908246
9084,632031711;34,8539393929857
9094,632426193;34,7971642457263
9104,631422782;34,7663013248772
9114,631769456;34,7342155051235
9124,631802224;34,6870140782608
9134,631669085;34,6328463394771
9144,632230029;34,6021875959021
9154,631927067;34,5517537355865
9164,632017188;34,5033828352356
9174,632229392;34,4573298854404
9184,632146681;34,4187260121959
9194,631780053;34,3794703365073
9204,632075498;34,3714044971796
9214,632006025;34,3387577074082
9224,632189625;34,2559011897973
9234,632437300;34,2038606790857
9244,631755055;34,1770413962303
9254,631989875;34,1563902514507
9264,632337764;34,1148435240989
9274,632255726;34,0750599839157
9284,631441761;34,0206251406599
9294,631684855;33,9753394817624
9304,631751015;33,9452033299498
9314,632216236;33,9190306211171
9324,631992524;33,8788134678754
9334,631711875;33,8403041317135
9344,632310279;33,7769212143214
9354,631874751;33,7329881042937
9364,631816277;33,6994231673802
9374,631940858;33,6804161267252
9384,631656499;33,6297283596481
9394,632273187;33,5931575802509
9404,632196934;33,56858975966
9414,632017735;33,5336977919376
9424,631913586;33,4686335108666
9434,632223485;33,4193011299116
9444,631943438;33,3999209954511
9454,631890437;33,3554510014102
9464,631560487;33,3259365648134
9474,632393574;33,2775832918585
9484,632240714;33,2427497510203
9494,631694903;33,2399195597778
9504,631929130;33,1820146584512
9514,632242399;33,153371053869
9524,632119714;33,1237667180463
9534,631642073;33,0876226861487
9544,632448463;33,0344397905257
9554,632278901;32,9828628851234
9564,631989379;32,9552026738799
9574,632050892;32,8896777920874
9584,632078444;32,860337913015
9594,632046032;32,8564894314721
9604,631989658;32,8306491844581
9614,631667321;32,7861851984906
9624,632120012;32,7470859276935
9634,631625745;32,7159927102701
9644,631980506;32,6765625672139
9654,632343298;32,6414116224761
9664,631515133;32,591185701436
9674,632069988;32,5546520926266
9684,632011879;32,5410231910863
9694,632353797;32,5252880314682
9704,631891752;32,4679423510229
9714,631524735;32,4395601043163
9724,631811741;32,4115315883007
9734,632340774;32,379207678354
9744,632100840;32,3320581895226
9754,632029932;32,3015927027677
9764,631486054;32,276580967587
9774,631684196;32,2406434474051
9784,632096362;32,1735168537894
9794,631818559;32,1536103680484
9804,631319782;32,1419360564168
9814,631579023;32,1060183329062
9824,632119285;32,0596962841831
9834,632417572;32,0246424627059
9844,631787889;32,002133044653
9854,631973222;31,9772287263294
9864,631669581;31,944281912367
9874,631458960;31,8986526906015
9884,632212353;31,8625172504272
9894,632228772;31,8011058195677
9904,631966213;31,7598581853679
9914,631659675;31,7632942280038
9924,632032150;31,752081873269
9934,632043648;31,717601147141
9944,632226163;31,6796482036992
9954,631470703;31,6471685376729
9964,631994251;31,6049327802194
9974,631886822;31,5404776947822
9984,632145407;31,524696413969
9994,632014012;31,4977038463649
10004,631830634;31,481692274111
10014,631734272;31,4483812242747
10024,631877923;31,4321426744549
10034,632066590;31,4010402587966
10044,632010275;31,3564756148888
10054,631853975;31,3243855828385
