t (s);T (°C)
146,539013000;89,1493299675426
156,539274000;87,2521533291105
166,539329000;86,5111796641696
176,539319000;86,088305133824
186,539528000;86,1237084887676
196,539343000;85,4544345473957
206,539110000;84,7318585967646
216,538995871;84,3063953680084
226,539323024;83,8597352197326
236,539464209;83,2783049319111
246,539376101;83,1223869804561
256,539245948;82,3255254259793
266,539216482;81,9919961510786
276,539409632;81,6782598224832
286,539974684;81,3364532007081
296,539619614;80,9913956177202
306,539425183;80,8057251794269
316,539031044;80,361858776859
326,539230484;79,9171979479011
336,539132258;79,6914822708521
346,539328458;79,3813589122074
356,539188425;78,9252084872195
366,539115678;78,8089704404386
376,539115867;78,6000260224603
386,539877738;78,3318705682772
396,539101105;77,9682202562601
406,539071877;77,9259525172835
416,539670973;77,5618203929099
426,539012358;77,3247960838881
436,539049814;77,1330434009446
446,539100313;76,7284800338498
456,539797973;76,6579194411009
466,539442048;76,3409209219375
476,539359889;76,0781017796313
486,539803948;75,9847712702113
496,539919757;75,7788936051573
506,539549917;75,4688745693273
516,539072084;75,249227674399
526,539759963;75,0978528874738
536,539742308;74,8622181767292
546,539238906;74,7308139696773
556,539702570;74,3717906307496
566,539379149;74,2958165936809
576,539792507;74,0074394323797
586,539443532;73,8730608720432
596,539037127;73,632744867576
606,538897208;73,3876503217182
616,539114704;73,3845729676477
626,539017556;73,0753381000656
636,539051710;72,7893809442198
646,539128123;72,7537970515216
656,539757757;72,4431679244502
666,539584376;72,3677581406994
676,539569947;72,1738010698707
686,539447111;71,9158745968336
696,538929996;71,8182435927091
706,538883782;71,6221900362632
716,539665717;71,4894221735713
726,539069136;71,2492297519603
736,538992382;71,123202657393
746,539395862;70,9715716053925
756,539045045;70,8552688095778
766,539089410;70,56966598604
776,539231496;70,4448244349061
786,539844868;70,1808698726255
796,539418142;70,0624313159703
806,538946937;69,9012705385838
816,539566905;69,7443434453346
826,539370745;69,6134007660458
836,539125158;69,4880850103659
846,539167873;69,2328608950691
856,539205644;69,1499870449188
866,539302239;68,9036811708325
876,539360446;68,7883577317015
886,539221068;68,6751478758719
896,539222921;68,4554123962247
906,539272839;68,3418461553397
916,539466665;68,1551294167733
926,539656255;67,9857710923548
936,539229479;67,8281041328863
946,538855211;67,6653435224948
956,538953335;67,5171046708153
966,539018748;67,3699718365037
976,539511352;67,2085903493901
986,538873062;66,9980282104094
996,539217787;66,9745515647325
1006,540129452;66,7786763977016
1016,539771993;66,6444346107859
1026,539437339;66,4560728184624
1036,539418429;66,3288751213504
1046,539733206;66,1739177453939
1056,539428622;66,0651492208852
1066,539129626;65,8784062910001
1076,539157172;65,721839312548
1086,539725220;65,6008346079092
1096,539218737;65,4092033653815
1106,538892683;65,2361592259529
1116,539633023;65,1671782892328
1126,539855732;65,0855658940239
1136,538861786;64,8400736665014
1146,539398148;64,7611666316103
1156,539189803;64,6087495811968
1166,539054727;64,4435076732664
1176,539642626;64,3315372219034
1186,539352604;64,244071999201
1196,539298090;64,0013539959787
1206,539122953;63,8798518201431
1216,539327055;63,6833706381411
1226,539023286;63,5743200724561
1236,539033514;63,4558972123724
1246,539857619;63,3304553478147
1256,539844510;63,1994661931826
1266,539585073;63,0931779878626
1276,539203205;62,9698167265316
1286,539597796;62,7777468894337
1296,539827762;62,649009023383
1306,538921023;62,5089084397636
1316,538928469;62,3652332095705
1326,539061025;62,2987857818808
1336,539546606;62,1646352210734
1346,539681143;61,990094545849
1356,538844566;61,833078171192
1366,538919784;61,7465769322095
1376,539328736;61,6408654614746
1386,539833355;61,5132323724114
1396,539710585;61,3640288998781
1406,538850364;61,2574533677528
1416,539679614;61,1363813088756
1426,539283300;60,9468278884414
1436,539438354;60,9379579867569
1446,539748726;60,7987617241055
1456,539420372;60,6146289026223
1466,539297237;60,4536207449866
1476,539344274;60,3894346280617
1486,539929435;60,2237653246719
1496,539301690;60,1257444864034
1506,539032986;59,9789375410004
1516,539407280;59,8749475872239
1526,538961545;59,7885489144198
1536,539894729;59,6307648650596
1546,539596813;59,5298129037346
1556,539230755;59,3870759665467
1566,539416519;59,2891231886176
1576,539138079;59,172880025607
1586,539072400;59,0544466474993
1596,539463453;58,9406807485421
1606,539928210;58,8199053736465
1616,538903655;58,6467651089014
1626,539038745;58,5829876661382
1636,539296461;58,4735536921775
1646,539055784;58,3615836350343
1656,538935687;58,2718777860448
1666,539042145;58,1456629499459
1676,539496138;58,0168718331469
1686,539857647;57,8967758432967
1696,539078659;57,8068336194511
1706,539159143;57,6919380452213
1716,539192086;57,5489960498874
1726,539309469;57,4657146227067
1736,538905280;57,3601930036505
1746,539386493;57,2521907698656
1756,539348101;57,0991962098726
1766,539851084;57,0073762718625
1776,539178436;56,9073512261422
1786,539042133;56,7604675464527
1796,539362163;56,6722964191359
1806,538983520;56,5995050058623
1816,539786180;56,5018583010765
1826,539110147;56,3539005727224
1836,539243396;56,250510371796
1846,539611919;56,1490963742907
1856,539427711;56,0562502737337
1866,539072758;55,9721784969784
1876,538983049;55,8753589138776
1886,539741572;55,6846667328597
1896,539847324;55,6422925599659
1906,539941295;55,5465173210726
1916,539866476;55,4496541800777
1926,539400861;55,3175052694752
1936,539509437;55,2170627346675
1946,539255201;55,1100608579879
1956,539778141;55,0068407478132
1966,539590256;54,9040711089088
1976,539669536;54,7773206509885
1986,539478977;54,7075485149068
1996,539722569;54,6182961301039
2006,539639310;54,5556734475342
2016,539644192;54,414963505169
2026,539878209;54,3339950006065
2036,539673360;54,231800784627
2046,539288637;54,1540181012296
2056,539295034;54,0473532082854
2066,539018549;53,9087964908367
2076,538979175;53,8296653984067
2086,539332906;53,7795851739191
2096,539664742;53,6370087758962
2106,539209681;53,5502318151898
2116,539815710;53,4417320624527
2126,539308837;53,343467018064
2136,539016052;53,2956714581894
2146,539370349;53,1680131284471
2156,539226730;53,0820950069905
2166,539555188;52,9830774642452
2176,539872721;52,8724157438802
2186,539654330;52,7886002221545
2196,539410009;52,6917265126673
2206,539764207;52,5917852772432
2216,539243448;52,499310977852
2226,539255527;52,4297107108004
2236,538930437;52,3568141684912
2246,539887147;52,2445029456871
2256,539286667;52,1455930763331
2266,540081955;52,0674265784806
2276,539675020;51,9838079357283
2286,539855830;51,9034971594287
2296,539368383;51,8166314545337
2306,538976656;51,7060371307951
2316,539515629;51,6234329654579
2326,539943297;51,5300205929493
2336,539301655;51,4123741262326
2346,539039678;51,3355236529158
2356,539331351;51,2488713922191
2366,539652665;51,1554690863111
2376,539899610;51,0757410245538
2386,539889174;51,0091662991599
2396,539092350;50,9543327943193
2406,539560110;50,8347402153744
2416,539101459;50,7514214304382
2426,539095376;50,6809889265759
2436,539199851;50,5804194209394
2446,538981879;50,5552852450196
2456,539379439;50,4273347619858
2466,539645529;50,2943719978418
2476,539034144;50,207970163479
2486,539350259;50,1355097869942
