t (s);T (°C)
147;89,1493
157;87,2522
167;86,5112
177;86,0883
187;86,1237
197;85,4544
207;84,7319
217;84,3064
227;83,8597
237;83,2783
247;83,1224
257;82,3255
267;81,992
277;81,6783
287;81,3365
297;80,9914
307;80,8057
317;80,3619
327;79,9172
337;79,6915
347;79,3814
357;78,9252
367;78,809
377;78,6
387;78,3319
397;77,9682
407;77,926
417;77,5618
427;77,3248
437;77,133
447;76,7285
457;76,6579
467;76,3409
477;76,0781
487;75,9848
497;75,7789
507;75,4689
517;75,2492
527;75,0979
537;74,8622
547;74,7308
557;74,3718
567;74,2958
577;74,0074
587;73,8731
597;73,6327
607;73,3877
617;73,3846
627;73,0753
637;72,7894
647;72,7538
657;72,4432
667;72,3678
677;72,1738
687;71,9159
697;71,8182
707;71,6222
717;71,4894
727;71,2492
737;71,1232
747;70,9716
757;70,8553
767;70,5697
777;70,4448
787;70,1809
797;70,0624
807;69,9013
817;69,7443
827;69,6134
837;69,4881
847;69,2329
857;69,15
867;68,9037
877;68,7884
887;68,6751
897;68,4554
907;68,3418
917;68,1551
927;67,9858
937;67,8281
947;67,6653
957;67,5171
967;67,37
977;67,2086
987;66,998
997;66,9746
1007;66,7787
1017;66,6444
1027;66,4561
1037;66,3289
1047;66,1739
1057;66,0651
1067;65,8784
1077;65,7218
1087;65,6008
1097;65,4092
1107;65,2362
1117;65,1672
1127;65,0856
1137;64,8401
1147;64,7612
1157;64,6087
1167;64,4435
1177;64,3315
1187;64,2441
1197;64,0014
1207;63,8799
1217;63,6834
1227;63,5743
1237;63,4559
1247;63,3305
1257;63,1995
1267;63,0932
1277;62,9698
1287;62,7777
1297;62,649
1307;62,5089
1317;62,3652
1327;62,2988
1337;62,1646
1347;61,9901
1357;61,8331
1367;61,7466
1377;61,6409
1387;61,5132
1397;61,364
1407;61,2575
1417;61,1364
1427;60,9468
1437;60,938
1447;60,7988
1457;60,6146
1467;60,4536
1477;60,3894
1487;60,2238
1497;60,1257
1507;59,9789
1517;59,8749
1527;59,7885
1537;59,6308
1547;59,5298
1557;59,3871
1567;59,2891
1577;59,1729
1587;59,0544
1597;58,9407
1607;58,8199
1617;58,6468
1627;58,583
1637;58,4736
1647;58,3616
1657;58,2719
1667;58,1457
1677;58,0169
1687;57,8968
1697;57,8068
1707;57,6919
1717;57,549
1727;57,4657
1737;57,3602
1747;57,2522
1757;57,0992
1767;57,0074
1777;56,9074
1787;56,7605
1797;56,6723
1807;56,5995
1817;56,5019
1827;56,3539
1837;56,2505
1847;56,1491
1857;56,0563
1867;55,9722
1877;55,8754
1887;55,6847
1897;55,6423
1907;55,5465
1917;55,4497
1927;55,3175
1937;55,2171
1947;55,1101
1957;55,0068
1967;54,9041
1977;54,7773
1987;54,7075
1997;54,6183
2007;54,5557
2017;54,415
2027;54,334
2037;54,2318
2047;54,154
2057;54,0474
2067;53,9088
2077;53,8297
2087;53,7796
2097;53,637
2107;53,5502
2117;53,4417
2127;53,3435
2137;53,2957
2147;53,168
2157;53,0821
2167;52,9831
2177;52,8724
2187;52,7886
2197;52,6917
2207;52,5918
2217;52,4993
2227;52,4297
2237;52,3568
2247;52,2445
2257;52,1456
2267;52,0674
2277;51,9838
2287;51,9035
2297;51,8166
2307;51,706
2317;51,6234
2327;51,53
2337;51,4124
2347;51,3355
2357;51,2489
2367;51,1555
2377;51,0757
2387;51,0092
2397;50,9543
2407;50,8347
2417;50,7514
2427;50,681
2437;50,5804
2447;50,5553
2457;50,4273
2467;50,2944
2477;50,208
2487;50,1355
2497;50,0856
2507;49,9566
2517;49,8649
2527;49,817
2537;49,7263
2547;49,6539
2557;49,5667
2567;49,4849
2577;49,4072
2587;49,3091
2597;49,2566
2607;49,1807
2617;49,1227
2627;49,0262
2637;48,9322
2647;48,8698
2657;48,7881
2667;48,6986
2677;48,6218
2687;48,5409
2697;48,452
2707;48,372
2717;48,2999
2727;48,226
2737;48,1443
2747;48,0825
2757;48,0013
2767;47,9344
2777;47,8429
2787;47,777
2797;47,6957
2807;47,6311
2817;47,5446
2827;47,4687
2837;47,3932
2847;47,3357
2857;47,2671
2867;47,1771
2877;47,1105
2887;47,028
2897;46,9644
2907;46,8975
2917;46,817
2927;46,7444
2937;46,6641
2947;46,6056
2957;46,5267
2967;46,4703
2977;46,4114
2987;46,3232
2997;46,2423
3007;46,209
3017;46,1078
3027;46,033
3037;45,9666
3047;45,8998
3057;45,8316
3067;45,7688
3077;45,6972
3087;45,6247
3097;45,5659
3107;45,4686
3117;45,4365
3127;45,3622
3137;45,2931
3147;45,2334
3157;45,1393
3167;45,0806
3177;45,0272
3187;44,9783
3197;44,9134
3207;44,8339
3217;44,7697
3227;44,7031
3237;44,6474
3247;44,5875
3257;44,5242
3267;44,4512
3277;44,4017
3287;44,3284
3297;44,2619
3307;44,2015
3317;44,1421
3327;44,0654
3337;44,0139
3347;43,9509
3357;43,8822
3367;43,8095
3377;43,7606
3387;43,7004
3397;43,6443
3407;43,5764
3417;43,5272
3427;43,4624
3437;43,4005
3447;43,3387
3457;43,2801
3467;43,216
3477;43,1568
3487;43,0972
3497;43,0396
3507;42,9801
3517;42,9216
3527;42,8681
3537;42,7982
3547;42,7432
3557;42,6882
3567;42,6333
3577;42,5673
3587;42,5134
3597;42,4578
3607;42,3995
3617;42,3368
3627;42,289
3637;42,2289
3647;42,1737
3657;42,1159
3667;42,066
3677;42,0074
3687;41,9521
3697;41,8901
3707;41,8365
3717;41,7838
3727;41,7285
3737;41,675
3747;41,6204
3757;41,5582
3767;41,5065
3777;41,447
3787;41,3957
3797;41,3366
3807;41,288
3817;41,2314
3827;41,177
3837;41,1269
3847;41,0679
3857;41,0213
3867;40,966
3877;40,9212
3887;40,8639
3897;40,8112
3907;40,7629
3917;40,7091
3927;40,6565
3937;40,6053
3947;40,5563
3957;40,5007
3967;40,4529
3977;40,3943
3987;40,3463
3997;40,2942
4007;40,2394
4017;40,194
4027;40,1438
4037;40,0933
4047;40,0369
4057;39,996
4067;39,9477
4077;39,8985
4087;39,8478
4097;39,7947
4107;39,7739
4117;39,7272
4127;39,6782
4137;39,6293
4147;39,5664
4157;39,5328
4167;39,4844
4177;39,4374
4187;39,3876
4197;39,3376
4207;39,2864
4217;39,2429
4227;39,1934
4237;39,1471
4247;39,1012
4257;39,0422
4267;39,0092
4277;38,9588
4287;38,9113
4297;38,8661
4307;38,8168
4317;38,7678
4327;38,7263
4337;38,6806
4347;38,6334
4357;38,5969
4367;38,5487
4377;38,4887
4387;38,4573
4397;38,4196
4407;38,3598
4417;38,3403
4427;38,271
4437;38,2309
4447;38,1883
4457;38,1404
4467;38,0953
4477;38,0541
4487;38,0156
4497;37,9614
4507;37,9267
4517;37,8838
4527;37,8393
4537;37,794
4547;37,7514
4557;37,6981
4567;37,6648
4577;37,6344
4587;37,5771
4597;37,5373
4607;37,4968
4617;37,4439
4627;37,4095
4637;37,3702
4647;37,3292
4657;37,2876
4667;37,2456
4677;37,2057
4687;37,1719
4697;37,1219
4707;37,0798
4717;37,0379
4727;37,0038
4737;36,9591
4747;36,9185
4757;36,8786
4767;36,8393
4777;36,7966
4787;36,7622
4797;36,7197
4807;36,6787
4817;36,6377
4827;36,6021
4837;36,5639
4847;36,5314
4857;36,4861
4867;36,4439
4877;36,403
4887;36,3675
4897;36,3297
4907;36,2913
4917;36,2527
4927;36,213
4937;36,1737
4947;36,1362
4957;36,0934
4967;36,0556
4977;36,0221
4987;35,9861
4997;35,9483
5007;35,9066
5017;35,8666
5027;35,834
5037;35,7955
5047;35,7608
5057;35,7226
5067;35,6875
5077;35,6492
5087;35,6154
5097;35,5744
5107;35,5367
5117;35,5066
5127;35,4699
5137;35,4304
5147;35,3974
5157;35,3642
5167;35,3276
5177;35,286
5187;35,25
5197;35,2095
5207;35,1807
5217;35,1439
5227;35,1142
5237;35,076
5247;35,0402
5257;35,0057
5267;34,9731
5277;34,9379
5287;34,9157
5297;34,871
5307;34,8465
5317;34,8024
5327;34,769
5337;34,7334
5347;34,6947
5357;34,6637
5367;34,6343
5377;34,6002
5387;34,565
5397;34,5473
5407;34,4996
5417;34,4686
5427;34,4356
5437;34,3971
5447;34,365
5457;34,3316
5467;34,3025
5477;34,2721
5487;34,2333
5497;34,2056
5507;34,171
5517;34,1419
5527;34,1101
5537;34,0733
5547;34,0458
5557;34,0138
5567;33,9816
5577;33,9517
5587;33,9198
5597;33,8885
5607;33,8542
5617;33,8285
5627;33,7962
5637;33,7649
5647;33,7353
5657;33,702
5667;33,6694
5677;33,6434
5687;33,6087
5697;33,5826
5707;33,5516
5717;33,5235
5727;33,4915
5737;33,4603
5747;33,4321
5757;33,4032
5767;33,3739
5777;33,3397
5787;33,31
5797;33,2811
5807;33,2552
5817;33,2236
5827;33,1963
5837;33,1714
5847;33,1385
5857;33,1097
5867;33,0839
5877;33,0492
5887;33,0245
5897;32,9932
5907;32,9645
5917;32,9356
5927;32,903
5937;32,8828
5947;32,8506
5957;32,8227
5967;32,794
5977;32,7675
5987;32,7377
5997;32,7285
6007;32,6807
6017;32,6524
6027;32,6245
6037;32,5963
6047;32,5709
6057;32,5421
6067;32,5155
6077;32,4875
6087;32,4627
6097;32,4302
6107;32,4048
6117;32,3765
6127;32,3503
6137;32,3249
6147;32,2981
6157;32,2667
6167;32,2443
6177;32,2168
6187;32,192
6197;32,1674
6207;32,1391
6217;32,1138
6227;32,0798
6237;32,0545
6247;32,0303
6257;32,0034
6267;31,9753
6277;31,9486
6287;31,9243
6297;31,8974
6307;31,8765
6317;31,8502
6327;31,826
6337;31,7979
6347;31,7716
6357;31,7469
6367;31,7191
6377;31,6966
6387;31,6717
6397;31,6474
6407;31,6221
6417;31,6018
6427;31,5713
6437;31,5509
6447;31,5252
6457;31,4993
6467;31,4762
6477;31,4499
6487;31,4255
6497;31,4
6507;31,3744
6517;31,3523
6527;31,3289
6537;31,3005
6547;31,2808
6557;31,2555
6567;31,2308
6577;31,2084
6587;31,18
6597;31,1609
6607;31,134
6617;31,1113
6627;31,09
6637;31,0654
6647;31,0403
6657;31,016
6667;30,9876
6677;30,9723
6687;30,9479
6697;30,9229
6707;30,9026
6717;30,8793
6727;30,8516
6737;30,8353
6747;30,8133
6757;30,789
6767;30,7644
6777;30,7399
6787;30,715
6797;30,6944
6807;30,6737
6817;30,6512
6827;30,6275
6837;30,6062
6847;30,5814
6857;30,5561
6867;30,5423
6877;30,5181
6887;30,4948
6897;30,4728
6907;30,4453
6917;30,4305
6927;30,4095
6937;30,3881
6947;30,3676
6957;30,3447
6967;30,32
6977;30,3001
6987;30,281
6997;30,2577
7007;30,2379
7017;30,216
7027;30,1874
7037;30,1758
7047;30,1316
7057;30,1116
7067;30,0927
7077;30,0912
7087;30,06
7097;30,0483
7107;30,0259
7117;30,0039
7127;29,984
7137;29,9616
7147;29,9339
7157;29,924
7167;29,9017
7177;29,8846
7187;29,8638
7197;29,8442
7207;29,8101
7217;29,8017
7227;29,7834
7237;29,7634
7247;29,7438
7257;29,7247
7267;29,6959
7277;29,6846
7287;29,6605
7297;29,6431
7307;29,6227
7317;29,6045
7327;29,5844
7337;29,5661
7347;29,5473
7357;29,5277
7367;29,508
7377;29,4831
7387;29,4482
7397;29,4464
7407;29,4273
7417;29,4061
7427;29,385
7437;29,3673
7447;29,3277
7457;29,3236
7467;29,3069
7477;29,287
7487;29,266
7497;29,2518
7507;29,2145
7517;29,2176
7527;29,1946
7537;29,1767
7547;29,1621
7557;29,1427
7567;29,1057
7577;29,1079
7587;29,0872
7597;29,0721
7607;29,0532
7617;29,0366
7627;29,0022
7637;28,9993
7647;28,9786
7657;28,9549
7667;28,9379
7677;28,9221
7687;28,8855
7697;28,8882
7707;28,8695
7717;28,8533
7727;28,8338
7737;28,8201
7747;28,7832
7757;28,7949
7767;28,7634
7777;28,7452
7787;28,7292
7797;28,7127
7807;28,6777
7817;28,6814
7827;28,6591
7837;28,642
7847;28,6258
7857;28,6079
7867;28,5736
7877;28,5736
7887;28,5522
7897;28,5385
7907;28,5222
7917;28,5068
7927;28,4728
7937;28,4705
7947;28,4694
7957;28,4398
7967;28,4236
7977;28,4038
7987;28,3736
7997;28,3711
8007;28,3539
8017;28,3366
8027;28,317
8037;28,302
8047;28,2805
8057;28,2694
8067;28,257
8077;28,241
8087;28,2226
8097;28,208
8107;28,1837
8117;28,173
8127;28,1592
8137;28,1442
8147;28,1259
8157;28,1111
8167;28,0895
8177;28,0802
8187;28,0604
8197;28,0501
8207;28,0326
8217;28,017
8227;27,9914
8237;27,9818
8247;27,969
8257;27,9543
8267;27,9342
8277;27,9225
8287;27,9039
8297;27,8842
8307;27,885
8317;27,8633
8327;27,8417
8337;27,832
8347;27,8192
8357;27,8046
8367;27,7875
8377;27,7696
8387;27,7524
8397;27,7366
8407;27,7179
8417;27,7058
8427;27,6943
8437;27,6783
8447;27,6701
8457;27,6511
8467;27,6329
8477;27,6196
8487;27,6076
8497;27,5901
8507;27,5748
8517;27,5594
8527;27,539
8537;27,531
8547;27,5172
8557;27,5033
8567;27,4881
8577;27,4717
8587;27,454
8597;27,4442
8607;27,4274
8617;27,4146
8627;27,4018
8637;27,3857
8647;27,3693
8657;27,3554
8667;27,3424
8677;27,3228
8687;27,3064
8697;27,2967
8707;27,2819
8717;27,2711
8727;27,255
8737;27,2397
8747;27,2264
8757;27,2152
8767;27,1993
8777;27,1868
8787;27,1807
8797;27,1569
