t (s);T (°C)
8725;36,5721
8735;36,4449
8745;36,3887
8755;36,3818
8765;36,3498
8775;36,303
8785;36,2462
8795;36,205
8805;36,1517
8815;36,1037
8825;36,0583
8835;36,0196
8845;35,9608
8855;35,9091
8865;35,8732
8875;35,8435
8885;35,7807
8895;35,7319
8905;35,6857
8915;35,6437
8925;35,5768
8935;35,5296
8945;35,4982
8955;35,4654
8965;35,4191
8975;35,3829
8985;35,3425
8995;35,2607
9005;35,192
9015;35,1612
9025;35,1112
9035;35,0723
9045;35,0505
9055;35,0023
9065;34,9362
9075;34,8995
9085;34,8539
9095;34,7972
9105;34,7663
9115;34,7342
9125;34,687
9135;34,6328
9145;34,6022
9155;34,5518
9165;34,5034
9175;34,4573
9185;34,4187
9195;34,3795
9205;34,3714
9215;34,3388
9225;34,2559
9235;34,2039
9245;34,177
9255;34,1564
9265;34,1148
9275;34,0751
9285;34,0206
9295;33,9753
9305;33,9452
9315;33,919
9325;33,8788
9335;33,8403
9345;33,7769
9355;33,733
9365;33,6994
9375;33,6804
9385;33,6297
9395;33,5932
9405;33,5686
9415;33,5337
9425;33,4686
9435;33,4193
9445;33,3999
9455;33,3555
9465;33,3259
9475;33,2776
9485;33,2427
9495;33,2399
9505;33,182
9515;33,1534
9525;33,1238
9535;33,0876
9545;33,0344
9555;32,9829
9565;32,9552
9575;32,8897
9585;32,8603
9595;32,8565
9605;32,8306
9615;32,7862
9625;32,7471
9635;32,716
9645;32,6766
9655;32,6414
9665;32,5912
9675;32,5547
9685;32,541
9695;32,5253
9705;32,4679
9715;32,4396
9725;32,4115
9735;32,3792
9745;32,3321
9755;32,3016
9765;32,2766
9775;32,2406
9785;32,1735
9795;32,1536
9805;32,1419
9815;32,106
9825;32,0597
9835;32,0246
9845;32,0021
9855;31,9772
9865;31,9443
9875;31,8987
9885;31,8625
9895;31,8011
9905;31,7599
9915;31,7633
9925;31,7521
9935;31,7176
9945;31,6796
9955;31,6472
9965;31,6049
9975;31,5405
9985;31,5247
9995;31,4977
10005;31,4817
10015;31,4484
10025;31,4321
10035;31,401
10045;31,3565
10055;31,3244
10065;31,2971
10075;31,2676
10085;31,2478
10095;31,2271
10105;31,1871
10115;31,1624
10125;31,1417
10135;31,099
10145;31,0675
10155;31,0393
10165;31,0153
10175;30,9811
10185;30,9464
10195;30,9246
10205;30,8839
10215;30,8429
10225;30,8191
10235;30,7983
10245;30,7766
10255;30,7468
10265;30,7205
10275;30,7056
10285;30,6731
10295;30,6435
10305;30,609
10315;30,5849
10325;30,5552
10335;30,526
10345;30,4919
10355;30,4692
10365;30,4315
10375;30,4099
10385;30,3921
10395;30,3609
10405;30,287
10415;30,2719
10425;30,2773
10435;30,2614
10445;30,2011
10455;30,1122
10465;30,0562
10475;30,1305
10485;30,1073
10495;30,0578
10505;30,0559
10515;30,0478
10525;30,0056
10535;29,9864
10545;29,965
10555;29,9275
10565;29,8947
10575;29,8511
10585;29,8175
10595;29,8185
10605;29,7994
10615;29,7712
10625;29,7364
10635;29,712
10645;29,6677
10655;29,6549
10665;29,6264
10675;29,5931
10685;29,5737
10695;29,5576
10705;29,5368
10715;29,5094
10725;29,4867
10735;29,4632
10745;29,4379
10755;29,4169
10765;29,3859
10775;29,3528
10785;29,3316
10795;29,3111
10805;29,2797
10815;29,2773
10825;29,2488
10835;29,2295
10845;29,2063
10855;29,1803
10865;29,1466
10875;29,1198
10885;29,1049
10895;29,0863
10905;29,066
10915;29,0352
10925;29,0166
10935;28,9876
10945;28,9647
10955;28,9246
10965;28,897
10975;28,8708
10985;28,8583
10995;28,8469
11005;28,8275
11015;28,8036
11025;28,7883
11035;28,7616
11045;28,734
11055;28,7152
11065;28,6905
11075;28,6729
11085;28,6463
11095;28,6213
11105;28,5987
11115;28,5736
11125;28,5441
11135;28,5325
11145;28,511
11155;28,4824
11165;28,4542
11175;28,4307
11185;28,3498
11195;28,3255
11205;28,3522
11215;28,348
11225;28,3525
11235;28,3296
11245;28,2977
11255;28,2421
11265;28,2167
11275;28,1998
11285;28,0287
11295;28,0936
11305;28,1258
11315;28,1275
11325;28,113
11335;28,089
11345;28,0522
11355;28,0279
11365;28,0104
11375;27,9878
11385;27,9771
11395;27,9582
11405;27,9368
11415;27,9227
11425;27,8999
11435;27,8837
11445;27,8512
11455;27,8329
11465;27,8138
11475;27,7965
11485;27,7651
11495;27,7387
11505;27,6904
11515;27,6705
11525;27,6739
11535;27,6729
11545;27,6551
11555;27,6343
11565;27,6118
11575;27,5894
11585;27,5686
11595;27,5523
11605;27,536
11615;27,518
11625;27,5001
